gene_symbol,target_name,uniprot_id,tdl,publication_count,ligand_count,drug_count,ppi_count,retrieved_date
ACTC1,"Actin, alpha cardiac muscle 1",P68032,Tbio,121,0,0,275,2026-08-11
DES,Desmin,P17661,Tbio,165,0,0,79,2026-08-11
DMD,Dystrophin,P11532,Tclin,507,0,4,258,2026-08-11
DSC2,Desmocollin-2,Q02487,Tbio,85,0,0,86,2026-08-11
DSG2,Desmoglein-2,Q14126,Tbio,143,0,0,121,2026-08-11
FLNC,Filamin-C,Q14315,Tbio,124,0,0,185,2026-08-11
GBE1,"1,4-alpha-glucan-branching enzyme",Q04446,Tbio,50,0,0,124,2026-08-11
GYG1,Glycogenin-1,P46976,Tbio,35,0,0,72,2026-08-11
KCNQ1,Potassium voltage-gated channel subfamily KQT member 1,P51787,Tclin,621,40,3,264,2026-08-11
LAMP2,Lysosome-associated membrane glycoprotein 2,P13473,Tbio,173,0,0,262,2026-08-11
LMNA,Prelamin-A/C,P02545,Tbio,794,0,0,316,2026-08-11
MYBPC3,"Myosin-binding protein C, cardiac-type",Q14896,Tbio,268,0,0,126,2026-08-11
MYH7,Myosin-7,P12883,Tclin,306,0,1,183,2026-08-11
MYL3,Myosin light chain 3,P08590,Tbio,41,0,0,156,2026-08-11
MYLK3,Myosin light chain kinase 3,Q32MK0,Tchem,12,5,1,58,2026-08-11
PKD1,Polycystin-1,P98161,Tbio,330,0,0,108,2026-08-11
PKP2,Plakophilin-2,Q99959,Tbio,122,0,0,150,2026-08-11
PLN,Cardiac phospholamban,P26678,Tbio,165,0,0,75,2026-08-11
POLG,DNA polymerase subunit gamma-1,P54098,Tchem,316,2,0,156,2026-08-11
TNNI3,"Troponin I, cardiac muscle",P19429,Tbio,366,0,0,182,2026-08-11
TNNI3K,Serine/threonine-protein kinase TNNI3K,Q59H18,Tchem,38,50,1,57,2026-08-11
TNNT2,"Troponin T, cardiac muscle",P45379,Tbio,441,0,0,167,2026-08-11
TPM1,Tropomyosin alpha-1 chain,P09493,Tbio,190,0,0,198,2026-08-11
TTN,Titin,Q8WZ42,Tbio,349,0,0,265,2026-08-11
TTR,Transthyretin,P02766,Tclin,629,41,11,284,2026-08-11
